	IDresults120110_UNC13-SN749_0141_AD0J7WACXX_ATCACG_L005_-sam-report.tsv	IDresults120110_UNC13-SN749_0141_AD0J7WACXX_GATCAG_L004_-sam-report.tsv	IDresults120110_UNC13-SN749_0141_AD0J7WACXX_GGCTAC_L002_-sam-report.tsv	IDresults120110_UNC13-SN749_0141_AD0J7WACXX_TTAGGC_L007_.Y.Y-sam-report.tsv	IDresults120110_UNC13-SN749_0141_AD0J7WACXX_TTAGGC_L008_-sam-report.tsv	IDresults120110_UNC13-SN749_0142_BD0HK1ACXX_CGATGT_L005_.Y.Y-sam-report.tsv	IDresults120110_UNC13-SN749_0142_BD0HK1ACXX_CTTGTA_L006_.Y.Y-sam-report.tsv	IDresults120118_UNC12-SN629_0180_BC0BWMACXX_ACTTGA_L006_-sam-report.tsv	IDresults120118_UNC12-SN629_0180_BC0BWMACXX_TAGCTT_L007_.Y.Y-sam-report.tsv	IDresults120207_UNC10-SN254_0325_AC0C6MACXX_ATCACG_L005_.Y.Y-sam-report.tsv	IDresults120207_UNC9-SN296_0271_BC0CB8ACXX_ACAGTG_L002_.Y-sam-report.tsv	IDresults120717_UNC14-SN744_0245_AC0WYWACXX_ATCACG_L005_.Y-sam-report.tsv	IDresults120717_UNC14-SN744_0245_AC0WYWACXX_CTTGTA_L005_-sam-report.tsv	IDresults120723_UNC10-SN254_0372_AC0T70ACXX_TTAGGC_L001_-sam-report.tsv	IDresults120723_UNC10-SN254_0372_AC0T70ACXX_TTAGGC_L004_.Y-sam-report.tsv	IDresults120723_UNC10-SN254_0372_AC0T70ACXX_TTAGGC_L006_.Y-sam-report.tsv	IDresults130328_UNC10-SN254_0443_AD238RACXX_CTTGTA_L002_-sam-report.tsv	IDresults130513_UNC14-SN744_0340_BD250CACXX_GTGGCC_L008_.Y-sam-report.tsv	IDresults130814_UNC10-SN254_0487_AC2BD1ACXX_CAGATC_L006_.Y-sam-report.tsv
Patients	83b41d35-69b1-4218-be1a-8821d8a6899c	419deaac-ea45-4bdd-9fa0-b5cd8429b44f	ebedab7c-dd7c-448e-8324-78c86f13be8b	4dc5cffe-ed8c-47ab-b5fc-f9615b5414f7	556fcbc8-172a-4af1-8822-ae036e8d68e8	679a6869-2ce9-4472-8db1-8869e2c1a440	811b3950-36e7-485f-bc48-aca1eee2ddef	797a71ee-372d-41e5-aeee-5ab3c4661110	d17a5ab1-3789-4652-aff5-d8f4f2291f9c	f8780a4b-7f55-41d1-bf92-8513955d150e	5d54c742-5a8e-4c40-8d62-95e75e210ab8	2e85c30c-c4c4-4096-9eef-4eb2c7d991a3	31da07bb-6752-49a3-a7ea-5427c04a9458	7840aea9-40c4-473e-be33-8fa0b9f332c9	db52c68a-ed44-4ec4-9381-d75f9bcbc29a	d53eade8-a845-4252-aece-92f3573486a7	52fddd92-fa5e-4fac-8e44-e64c98c84f86	32efe5e2-e037-4547-8ead-619f61647639	acf6bdf3-6349-49dc-b99a-4eda648eeac5
ti|418459	7	3	9	5	1	0	2	10	7	11	4	8	11	0	2	5	1	3	7
ti|1408163	3	1	0	2	9	0	0	0	2	5	5	3	0	0	7	1	0	4	0
ti|665079	3	1	1	3	5	0	1	4	3	0	2	0	3	0	1	5	0	5	7
ti|1215350	2	1	0	1	1	0	1	2	0	0	0	2	1	0	1	0	3	80	0
ti|481877	5	5	2	5	4	0	6	10	7	15	6	14	6	0	5	7	4	17	12
ti|1186058	16	17	14	8	17	0	19	17	23	162	110	28	13	0	9	43	5	12	24
ti|1294322	2	1	0	0	0	0	0	0	0	0	1	3	0	0	1	0	1	0	0
ti|1294321	2	1	2	0	3	0	2	6	4	4	4	7	3	0	7	5	1	1	1
ti|5501	4	3	2	0	2	0	3	3	0	4	4	2	1	0	3	6	0	0	0
ti|1294374	1	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	2	5
ti|983644	1	0	0	0	1	0	0	2	1	1	2	1	1	0	3	0	0	0	1
ti|430498	1	2	1	3	0	0	0	2	3	0	0	2	0	0	0	0	1	1	4
ti|288795	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ti|1294357	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	2	0
ti|1294341	1	0	0	0	6	0	2	2	1	0	2	3	1	0	3	0	0	0	0
ti|119559	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1
ti|1136231	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1
ti|5059	3	0	2	0	2	0	0	2	7	0	2	2	1	0	1	1	3	2	8
ti|1305963	1	0	1	1	0	0	1	0	1	1	0	4	2	0	2	2	0	0	0
ti|120017	1	0	1	2	0	0	0	3	1	0	1	1	0	0	1	0	3	2	0
ti|1294309	1	5	1	1	1	0	173	6	0	0	0	146	3	0	1	3	0	2	1
ti|1294312	1	0	1	2	1	0	0	0	3	0	2	0	0	0	0	0	1	0	3
ti|559298	1	5	1	2	4	0	6	3	0	0	0	5	4	0	1	3	4	4	4
ti|694068	1	1	1	1	2	0	1	1	3	8	1	7	0	0	8	2	1	7	0
ti|64645	1	0	0	0	0	0	0	0	1	2	0	0	4	0	3	0	0	1	0
ti|4950	1	0	0	1	1	0	1	1	2	0	0	1	6	0	0	1	0	0	1
ti|301046	1	12	21	1	14	0	0	0	0	1	0	0	1	0	0	0	12	136	24
ti|294747	1	0	1	0	0	0	0	0	0	4	0	1	6	0	1	0	0	2	0
ti|289425	1	1	2	0	3	0	0	5	4	5	3	5	1	0	1	0	1	2	3
ti|1347949	1	5	0	0	0	0	1	7	4	9	9	0	2	1.5	0	1	7	5	0
ti|1294368	1	0	0	1	1	0	1	0	0	3	1	2	0	0	0	0	1	0	0
ti|1286976	1	0	2	0	0	0	0	2	0	5	2	0	2	0	0	1	0	0	4
ti|1034331	1	0	1	1	2	0	0	1	0	6	2	3	2	0	7	3	1	0	0
ti|1287681	2	0	5	3	0	0	2	5	1	0	1	1	1	0	3	1	0	0	2
ti|225342	2	0	0	3	0	0	1	1	0	0	1	2	2	0	1	1	1	3	1
ti|756982	1	1	0	2	1	0	1	0	2	0	2	2	1	0	1	3	2	1	3
ti|53940	1	0	0	0	0	0	5	3	2	5	3	1	1	13	1	0	0	2	9
ti|1168221	2	1	1	1	0	0	1	2	6	0	1	3	2	0	6	1	5	0	16
ti|326654	2	1	1	1	0	0	1	1	2	0	0	1	0	0	3	0	1	0	0
ti|650164	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	8	1
ti|1294354	1	3	0	0	1	0	0	0	1	2	2	4	0	0	6	5	0	0	3
ti|89488	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
ti|665024	1	0	6	0	2	0	5	1	1	0	2	1	0	0	1	1	0	5	11
ti|599839	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
ti|54095	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ti|210224	1	0	2	4	0	0	1	2	0	0	0	0	2	0	0	0	4	43	10
ti|1706233	1	0	0	0	1	0	0	1	0	0	1	0	2	4	0	0	0	1	1
ti|1294356	1	0	0	3	1	0	0	0	0	0	0	0	1	4	0	0	1	55	2
ti|643680	2	2	2	0	2	0	5	2	1	0	8	20	9	6	3	2	2	11	20
ti|87751	2	0	3	2	0	0	0	3	3	0	1	2	3	0	2	1	1	0	3
ti|252678	1	4	14	4	4	0	0	11	1	54	6	6	6	16	19	10	3	58	10039
ti|1182542	1	0	0	0	1	0	0	0	0	2	1	0	0	0	1	3	0	0	1
ti|5127	2	0	1	0	0	0	2	0	0	0	1	1	0	0	2	2	0	0	4
ti|5297	1	1.5	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
ti|1442368	1	0	1	1	0	0	0	1	1	0	2	0	0	0	1	2	1	0	4
ti|138278	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ti|1229163	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ti|101134	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|80388	2	0	0	9	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0
ti|346935	0.5	0	0	0	0	0	0	0.5	0	0	0	1	0	0	0	0	0.5	0	0.5
ti|346934	0.5	0	0	0	0	0	1	0.5	0	0	0	1	0	0	0	0	0.5	0	0.5
ti|1592208	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ti|1341331	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
ti|1182541	1	0	0	0	0	0	1	0	0	0	0	0	1	0	3	1	0	0	0
ti|5630	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|543774	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|526221	1	0	0	0	0	0	0	1	0	1	1	0	2	0	0	1	1	0	0
ti|441960	1	0	0	0	0	0	0	0	0	0	2	2	1	0	1	0	1	0	0
ti|276838	1	0	0	1	0	0	1	0	1	1	1	1	1	4	2	2	0	10	315
ti|226591	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1631846	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|161997	1	0	0	2	1	0	0	3	0	0	0	1	1	0	2	1	1	7	6
ti|1193695	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	3
ti|1028729	1	1	0	0	0	0	5	0	1	0	1	1	3	0	0	2	0	0	2
ti|1294318	0	105	1	1	1	0	0	6	3	0	3	0	2	0	4	6	2	0	0
ti|40471	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|27344	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|63393	0	10.5	11	0	14	0	0	1	1	1	0	0	1	0	1	10.5	2	1	231
ti|473035	0	16	0	13	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ti|56615	0	0.5	1	0	4	0	0	4	1	2	0	1	0	0	1	0	0	0	0
ti|936046	0	0.5	1	0	4	2	6	11	0	34	11	0	0	0	9	0	0	0	134
ti|526442	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12
ti|1055577	0	10	2	10	2	41	8	10	17	6	4	1	6	6	4	13	3	8	6
ti|1294367	0	48	986	5	0	0	0	0	3	14	1	0	0	344	222	204	1	1747	209
ti|72228	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	2	3	0	5
ti|284238	0	5	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1294306	0	8	1	0	0	311	3	16	12	173	1	2	5	131	1	10	4	0	69
ti|29917	0	2	12	0	0	0	1	13	0	0	0	1	0	0	0	0	0	0	172
ti|232082	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0
ti|344612	0	5	1	3	1	0	2	7	4	0	1	6	1	0	3	4	3	3	18
ti|1525927	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|68401	0	4	3	4	1	0	8	19	7	5	13	13	4	14	12	3	2	17	67
ti|110127	0	1	0	3	0	0	0	0	1	1	0	0	4	1	0	2	0	3	0
ti|1347951	0	4	1	21	2	0	4	0	0	0	0	0	2	1.5	2	0	1	169	11
ti|43425	0	1	0	0	0	0	0	0	1	0	2	1	0	0	1	1	0	0	0
ti|1505670	0	1	2	0	3	0	0	0	3	0	0	0	0	0	2	0	0	9	11
ti|162043	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ti|5417	0	2	2	1	0	0	2	0	0	0	0	0	2	0	0	4	0	0	0
ti|4876	0	4	3	7	2	0	6	19	10	45	24	40	18	27	48	46	4	53	160
ti|267812	0	1	0	0	2	0	0	0	0	0	4	0	1	0	1	3	2	4	12
ti|75730	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0
ti|1580894	0	4.5	1	1	0	0	11.5	3	2	0	0	3	0	0	4	25	0	3	18
ti|101129	0	1	0	1	5	0	15	7	12	21	12	2	0	44	11	8	0	3	7
ti|76019	0	2	0	3	0	0	0	2	4	0	0	4	1	1	0	1	0	1	2
ti|1356572	0	1	3	1	0	0	0	5	1	5	2	3	2	5	2	5	0	0	5
ti|66948	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1338630	0	5	3	1	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0
ti|1588634	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1077338	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0
ti|5007	0	1	3	1	0	0	1	3	1	2	3	0	0	13	0	3	0	3	0
ti|682085	0	3	0	0	0	0	4	1	0	2	0	1	1	6	0	0	0	0	4
ti|73517	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ti|648681	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|593670	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|572093	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|50730	0	4	0	0	2	0	1	1	3	0	1	0	1	0	1	0	0	0	2
ti|759402	0	5.5	8	0	2	0	18	2	3	0	6	0	13	0	0	0	0	24	0
ti|36659	0	5	1	0	0	0	1	3	0	0	1	3	1	0	3	2	0	1	1
ti|881290	0	5	3	4	2	0	4	10	7	4	7	11	3	18	3	4	0	6	20
ti|109764	0	4	0	2	0	0	4	22	8	0	2	3	12	0	2	2	0	0	381
ti|114833	0	3	1	0	0	0	1	1	4	0	2	1	0	2	1	0	0	2	1
ti|156610	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|181062	0	2	0	2	5	0	2	30	3	7	11	7	9	19	7	5	1	6	0
ti|1143006	0	2	0	0	0	0	1	0	1	2	5	0	1	0	0	0	1	0	4
ti|1049725	0	2	1	0	0	0	2	1	1	2	0	3	2	0	0	1	0	3	1
ti|109894	0	2	1	0	0	0	2	5	0	1	2	3	3	5	5	4	2	2	7
ti|81056	0	2	4	1	2	0	1	3	2	17	6	14	2	19	7	4	2	62	1207
ti|1220924	0	2	0	2	2	0	1	0	2	0	0	2	0	0	1	0	0	2	2
ti|301696	0	3	3	0	1	0	1	1	2	8	1	0	1	63	6	13	0	3	7
ti|90251	0	1	1	0	0	0	3	1	2	0	1	0	0	3	3	2	0	2	9
ti|90250	0	1	0	0	0	0	1	0	0	0	0	1	1	10	0	2	1	2	0
ti|858780	0	1	0	0	0	0	0	0	2	0	0	0	0	6	2	2	1	1	0
ti|84751	0	1	0	0	0	0	5	1	0	14	0	0	2	0	4	0	0	0	0
ti|79220	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|703494	0	1	0	0	0	0	0	0	1	1.5	0	0	0	8	2	1	0	0	0
ti|679179	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|54538	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|4839	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	3	26
ti|456999	0	1	3	0	1	0	3	1	0	2	0	1	0	6	1	1	0	6	3
ti|406843	0	1	0	0	0	0	0	0	0	0	0	3	0	0	8	0	0	0	0
ti|324621	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	82	39
ti|307740	0	1	3	3	0	0	0	0	0	0	5	0	0	0	0	1	0	1	0
ti|286564	0	1	0	0	0	0	2	0	0	0	1	0	0	4	2	3	5	0	3
ti|253819	0	1	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	1	0
ti|1647974	0	1	1	1	1	0	0	3	2	1	0	0	0	0	0	2	1	1	3
ti|159282	0	1	2	2	2	0	3	0	3	1	4	4	2	11	4	3	1	1	11
ti|144539	0	1	0	0	0	0	0	0	0	19	0	0	0	0	0	3	0	52	1566
ti|1147122	0	1	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
ti|948595	0	0.5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ti|364109	0	0.5	0	0	0.5	0	1	0	0	0	0	0	0	9	7	0	0	0	0
ti|308979	0	0.5	3	0	0.5	0	0	3	2	2	1	1	2	0	0	3	0	0	0
ti|184033	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	1
ti|1294346	0	2	1	1	0	0	0	3	0	0	0	1	0	0	1	0	0	3	0
ti|147329	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1305984	0	1	0	0	1	0	0	0	3	1	0	1	2	0	6	11	1	0	1
ti|1305968	0	1	0	0	4	0	0	0	0	1	1	2	0	0	2	7	2	2	2
ti|1542750	0	2	1	0	1	0	3	7	4	1	5	0.5	1.5	4	2	3.5	0	0	2
ti|37662	0	3	2	2	2	0	0	8	7	3	5	3	2	0	2	0	1	2	2
ti|324742	0	1	0	0	0	0	0	4	0	0	2	0	0	4	0	0	0	0	0
ti|1396493	0	1	0	1	0	0	0	2	1	0	2	0	3	11	2	3	0	1	6
ti|86794	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ti|619300	0	1	0	2	2	0	1	3	0	0	3	8	4	0	0	7	0	3	0
ti|1305976	0	1	0	0	0	0	0	3	0	0	3	3	0	0	1	1	1	0	0
ti|1305952	0	1	1	1	1	0	0	2	0	6	0	0	4	5	1	4	2	2	1
ti|110527	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|106415	0	3	1	1	0	0	4	6	5	2	7	4	3	0	4	3	0	7	0
ti|109929	0	2	0	0	0	0	1	2	0	14	3	0	1	0	3	0	0	10	2
ti|53661	0	1	0	0	0	0	0	2	1	0	1	1	0	0	0	2	3	1	1
ti|411695	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
ti|101111	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|665912	0	2	0	0	0	0	0	1	1	0	1	1	0	0	4	0	0	4	0
ti|655863	0	3	1	1	9	0	0	3	3	8	3	2	2	0	6	3	2	0	5
ti|64507	0	1	0	0	0	0	1	0	0	2	0	1	0	0	1	0	1	0	0
ti|364328	0	1	0	2	0	0	0	1	2	1	1	2	0	0	1	0	0	0	0
ti|181791	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ti|1604274	0	1	0	0.5	0	0	1	0	0	0	1	0	0	3	0.5	0	0	0	0
ti|378056	0	2	0	0	0	0	0	2	0	0	0	0	0	1	3	0	0	0	1
ti|143960	0	2	0	0	1	0	0	1	0	1	3	2	0	12	2	4	0	1	15
ti|478866	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ti|75732	0	1	0	0	1	0	0	0	14	0	0	0	0	0	0	0	0	0	0
ti|67629	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|543796	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	53
ti|1183332	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1232549	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1293430	0	2	0	0	0	0	0	0	2	2	0	0	0	80	0	2	0	0	0
ti|222702	0	0.5	0	0	0	0	1	0	0.5	0	0	0	0	0	0	0.5	0	0	0
ti|111140	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0
ti|407941	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ti|61397	0	1	0	0	2	0	2	0	0	0	2	1	0	6	23	6	0	56	1787
ti|1294387	0	3	1	1	0	0	0	0	0	0	0	2	1	0	0	1	2	0	0
ti|1294323	0	3	0	0	1	0	0	4	3	0	3	1	3	0	1	0	0	0	1
ti|214684	0	1	0	1	0	0	0	3	1	0	0	0	0	0	1	2	0	0	1
ti|1508187	0	1	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|5570	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ti|45511	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ti|202914	0	1	0	1	1	0	0	3	2	0	1	2	0	0	1	0	0	0	1
ti|364111	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ti|196234	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	2
ti|1305948	0	1	0	0	0	0	0	1	0	0	0	2	1	0	0	1	1	0	0
ti|1294382	0	1	0	1	0	0	1	0	3	0	0	0	0	0	2	3	0	0	2
ti|4822	0	2	1	0	0	0	0	0	2	0	0	4	1	0	0	0	0	2	2
ti|1305998	0	2	0	0	0	0	1	11	5	0	0	0	1	119	38	86	38	22	231
ti|46900	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1001997	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|55588	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0
ti|113226	0	1	0	2	0	0	0	1	1	0	0	1	5	0	0	1	0	0	0
ti|419585	0	2	0	0	1	0	0	2	2	0	1	1	0	0	0	0	0	0	0
ti|947044	0	1	0	3	0	0	0	20	90	0	7	14	0	0	9	11	0	0	2
ti|556894	0	1	2	1	0	0	1	3	0	1	4	0	2	0	3	4	0	0	14
ti|40602	0	1	2	0	1	0	2	2	1	0	2	2	1	0	0	0	0	0	1
ti|40601	0	1	3	1	0	0	2	0	4	0	1	0	2	0	1	1	1	1	2
ti|40476	0	1	0	0	0	0	1	1	1	2	0	2	0	0	0	4	0	0	466
ti|1050826	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1294311	0	1	0	0	0	0	0	1	1	0	0	0	0	0	3	0	1	0	0
ti|64574	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1263415	0	1	0	2	0	0	0	2	1	0	4	1	1	2	0	1	3	1	0
ti|5541	0	1	1	1	0	0	1	3	1	10	0	0	0	0	3	1	0	11	7
ti|321614	0	1	2	0	0	0	4	1	0	1	0	1	0	0	0	0	0	3	4
ti|1305977	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	2	0
ti|1294378	0	1	1	1	4	0	8	2	1	0	2	3	3	4	0	0	20	0	0
ti|1294303	0	1	0	1	0	0	0	1	0	0	0	1	0	2	0	1	2	0	1
ti|1149926	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|450297	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|330940	0	1	17	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0
ti|181123	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ti|1305987	0	1	0	1	0	0	0	1	0	2	2	0	4	0	0	1	1	1	1
ti|947042	0	1	0	0	0	0	0	1	2	0	0	0	3	0	5	1	0	0	1
ti|658429	0	1	3	0	0	0	1	1	5	0	2	2	1	0	4	2	2	0	4
ti|5315	0	1	2	0	0	0	3	8	3	7	6	3	6	19	8	3	1	34	3
ti|4920	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ti|425013	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|33178	0	1	1	0	1	0	0	0	0	3	0	0	1	0	0	0	0	2	2
ti|225341	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ti|174680	0	1	3	0	0	0	5	1	8	0	2	5	0	0	0	0	0	74	5
ti|1032994	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	2	0
ti|42458	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0
ti|5331	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ti|1576474	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ti|139942	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1294385	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	23	4
ti|82524	0	1	1	0	0	0	0	0	10	3	3	0	0	2	0	6	2	3	2
ti|559305	0	1	1	1	0	0	0	6	1	0	0	0	1	0	1	0	1	1	5
ti|5012	0	1	43	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1
ti|378274	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ti|36015	0	1	2	0	0	0	0	1	0	0	3	0	33	0	1	0	0	17	3
ti|1182544	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0
ti|1213859	0	1	0	0	0	0	0	0	0	0	4	1	0	0	1	0	0	2	2
ti|871575	0	1	0	1	0	0	2	1	0	0	1	0	1	0	0	1	2	0	0
ti|660122	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	2	5
ti|62688	0	1	0	0	4	0	0	3	3	0	1	6	1	0	2	0	3	1	4
ti|5466	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ti|137527	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ti|1284415	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ti|1037660	0	1	9	2	1	0	1	2	0	2	0	0	4	0	0	2	1	0	1
ti|545234	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ti|1573800	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1356864	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|5208	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|40410	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ti|1445577	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	2	0	0	4
ti|1390521	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|5174	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ti|42373	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|51453	0	1	2	0	0	0	1	2	0	2	2	1	2	2	2	4	3	1	9
ti|327741	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|27327	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ti|215467	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ti|1611400	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
ti|1043005	0	1	2	3	0	0	12	1	1	4	1	7	6	0	90	159	46	50	460
ti|909472	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1242822	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1234929	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|1431937	0	0	15558	0	0	0	0	2	0	0	0	1	0	0	0	0	0	3	0
ti|62132	0	0	1081	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	15
ti|1294359	0	0	632	90	0	151	0	0	3	0	10	7	1	2	0	0	1	1175	23879
ti|5407	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0
ti|112493	0	0	260	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	12
ti|1434218	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ti|885939	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	34
